Group;Value
1;84.6
1;85.5
1;86.1
1;83.0
1;86.6
1;83.7
1;83.6
1;84.0
1;85.8
1;84.89999999999999
2;81.10000000000001
2;81.39999999999999
2;82.1
2;81.8
2;86.3
2;84.89999999999999
2;86.0
2;83.2
2;84.8
2;82.39999999999999
3;83.6
3;84.2
3;84.1
3;85.39999999999999
3;83.6
3;84.3
3;83.7
3;83.5
3;86.2
3;84.6
4;85.1
4;85.3
4;86.3
4;85.6
4;85.39999999999999
4;81.89999999999999
4;83.39999999999999
4;85.0
4;84.8
4;86.4
5;85.1
5;82.19999999999999
5;85.39999999999999
5;83.2
5;83.0
5;84.89999999999999
5;86.3
5;85.1
5;83.6
5;85.3
6;85.9
6;85.9
6;85.2
6;86.4
6;82.89999999999999
6;83.6
6;83.5
6;84.8
6;85.5
6;85.2
7;84.3
7;82.8
7;84.1
7;82.8
7;84.3
7;84.3
7;82.39999999999999
7;85.6
7;82.69999999999999
7;84.7
8;84.2
8;84.0
8;80.9
8;81.89999999999999
8;83.6
8;82.19999999999999
8;84.1
8;83.3
8;83.7
8;82.8
9;85.3
9;83.0
9;84.3
9;83.5
9;85.39999999999999
9;82.89999999999999
9;84.8
9;86.2
9;82.39999999999999
9;84.2
10;84.6
10;85.7
10;83.1
10;84.1
10;86.8
10;85.1
10;85.2
10;86.7
10;86.1
10;86.1
11;83.7
11;83.39999999999999
11;84.2
11;87.0
11;83.89999999999999
11;84.89999999999999
11;85.8
11;82.69999999999999
11;82.8
11;86.5
12;83.6
12;83.39999999999999
12;84.5
12;84.7
12;84.8
12;84.1
12;83.2
12;84.0
12;83.5
12;83.89999999999999
13;84.39999999999999
13;86.0
13;85.39999999999999
13;86.0
13;85.9
13;82.3
13;85.2
13;85.3
13;84.6
13;84.7
14;84.8
14;85.5
14;84.3
14;85.7
14;85.7
14;85.2
14;85.2
14;84.8
14;84.7
14;84.1
15;85.6
15;83.39999999999999
15;84.6
15;83.5
15;84.39999999999999
15;84.1
15;84.3
15;84.6
15;84.3
15;83.6
16;83.39999999999999
16;86.0
16;84.89999999999999
16;82.1
16;84.1
16;83.89999999999999
16;83.2
16;85.3
16;86.6
16;82.89999999999999
17;82.39999999999999
17;84.39999999999999
17;83.7
17;84.1
17;85.0
17;82.3
17;84.7
17;83.8
17;84.3
17;84.2
18;84.89999999999999
18;85.2
18;83.3
18;87.0
18;84.2
18;85.3
18;84.1
18;83.39999999999999
18;82.3
18;83.8
